"code_saude_13","2020-12","2020-13","2020-14","2020-15","2020-16","2020-17","2020-18","2020-19","2020-20","2020-21","2020-22","2020-23","2020-24","2020-25","2020-26","2020-27","2020-28","2020-29","2020-30","2020-31","2020-32","2020-33","2020-34","2020-35","2020-36","2020-37","2020-38","2020-39","2020-40","2020-41","2020-42","2020-43","2020-44","2020-45","2020-46","2020-47","2020-48","2020-49","2020-50","2020-51","2020-52","2020-53","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2021-13","2021-14","2021-15","2021-16","2021-17","2021-18","2021-19","2021-20","2021-21","2021-22","2021-23","2021-24","2021-25","2021-26","2021-27","2021-28","2021-29","2021-30","2021-31","2021-32","2021-33","2021-34","2021-35","2021-36","2021-37","2021-38","2021-39","2021-40","2021-41","2021-42","2021-43","2021-44","2021-45","2021-46","2021-47","2021-48","2021-49","2021-50","2021-51","2021-52","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2022-13","2022-14","2022-15","2022-16","2022-17","2022-18","2022-19","2022-20","2022-21","2022-22","2022-23","2022-24","2022-25","2022-26","2022-27","2022-28","2022-29","2022-30","2022-31","2022-32","2022-33","2022-34","2022-35","2022-36","2022-37","2022-38","2022-39","2022-40","2022-41","2022-42","2022-43","2022-44","2022-45","2022-46","2022-47","2022-48","2022-49","2022-50","2022-51","2022-52","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39"
"11001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,27,113,63,35,81,558,395,270,436,514,834,750,1932,1599,1136,771,662,470,393,300,422,324,232,247,235,261,220,148,110,121,122,119,208,254,358,454,182,178,149,93,84,139,121,76,87,156,66,33,40,37,50,30,15,0,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,4,14,61,142,55,227,581,392,241,297,371,780,617,1448,1162,811,789,584,693,364,342,662,368,234,226,273,118,183,91,78,164,133,64,142,524,329,324,267,234,126,93,137,158,112,109,94,91,62,41,21,45,35,19,17,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,3,13,42,188,379,279,451,904,899,480,770,797,1330,1145,2888,1792,1771,1353,905,1088,534,577,649,391,860,580,513,367,329,232,183,215,182,99,245,448,501,410,244,419,186,205,175,219,192,127,140,122,77,50,11,69,55,46,49,11,5,6,15,19,14,1,1,0,2,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0
"11004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,3,6,3,2,2,0,2,0,1,2,9,3,6,6,2,4,101,251,3567,1602,1713,1757,1687,1580,1321,1050,1709,2735,2172,6155,3999,4070,3114,2389,2189,2822,1848,1847,1522,1321,1289,1303,1258,965,950,724,884,509,318,983,1515,1801,1194,1073,1040,585,469,542,617,705,441,549,423,463,112,378,360,391,121,95,20,50,10,14,14,5,25,6,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"11005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,1,5,14,203,260,227,291,531,369,352,338,379,775,625,806,489,957,902,555,525,393,435,428,278,220,175,386,301,803,162,122,202,113,74,176,565,343,272,222,197,123,45,112,159,134,68,53,86,66,185,14,81,41,30,25,12,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,6,122,83,82,150,629,592,373,369,565,1018,722,1507,1168,1078,718,609,492,315,378,366,312,110,241,331,252,186,102,119,138,102,55,187,292,318,254,306,249,137,27,112,213,143,73,47,88,67,42,17,34,68,34,25,1,7,10,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"11007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,16,9,25,7,32,70,88,64,162,158,128,383,283,221,132,136,140,94,76,73,47,40,36,46,14,39,19,42,120,22,8,40,61,79,46,34,32,18,2,50,35,21,14,11,20,12,5,5,0,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,5,6,11,9,13,32,61,95,244,138,388,307,364,373,169,208,165,137,142,111,188,56,52,81,37,27,32,44,66,43,77,102,187,79,86,41,19,10,15,44,22,9,26,15,13,12,43,32,12,33,16,11,16,12,7,3,5,12,7,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"12002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,11,5,5,3,0,4,18,94,273,328,178,245,283,184,374,540,1731,1793,5818,2695,5890,5396,7444,5753,4557,4046,2869,2229,1975,1486,1254,575,954,670,663,546,436,487,385,330,973,1290,1404,1000,721,510,299,146,149,322,261,320,376,325,239,128,317,167,212,215,124,127,148,132,84,10,5,16,15,16,6,2,1,11,2,2,2,0,3,0,0,2,2,3,5,0,0
"12003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,3,0,3,0,1,20,9,8,16,60,35,46,113,223,677,521,1238,829,1157,1128,1502,1145,809,661,484,489,296,133,252,281,108,311,154,182,117,112,160,210,359,379,285,374,191,96,107,104,49,95,154,88,117,34,95,113,137,47,41,17,96,20,19,10,9,20,31,10,5,1,0,1,4,1,2,2,0,2,0,1,0,0,1,0,0
