"code_saude_13","2020-12","2020-13","2020-14","2020-15","2020-16","2020-17","2020-18","2020-19","2020-20","2020-21","2020-22","2020-23","2020-24","2020-25","2020-26","2020-27","2020-28","2020-29","2020-30","2020-31","2020-32","2020-33","2020-34","2020-35","2020-36","2020-37","2020-38","2020-39","2020-40","2020-41","2020-42","2020-43","2020-44","2020-45","2020-46","2020-47","2020-48","2020-49","2020-50","2020-51","2020-52","2020-53","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2021-13","2021-14","2021-15","2021-16","2021-17","2021-18","2021-19","2021-20","2021-21","2021-22","2021-23","2021-24","2021-25","2021-26","2021-27","2021-28","2021-29","2021-30","2021-31","2021-32","2021-33","2021-34","2021-35","2021-36","2021-37","2021-38","2021-39","2021-40","2021-41","2021-42","2021-43","2021-44","2021-45","2021-46","2021-47","2021-48","2021-49","2021-50","2021-51","2021-52","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2022-13","2022-14","2022-15","2022-16","2022-17","2022-18","2022-19","2022-20","2022-21","2022-22","2022-23","2022-24","2022-25","2022-26","2022-27","2022-28","2022-29","2022-30","2022-31","2022-32","2022-33","2022-34","2022-35","2022-36","2022-37","2022-38","2022-39","2022-40","2022-41","2022-42","2022-43","2022-44","2022-45","2022-46","2022-47","2022-48","2022-49","2022-50","2022-51","2022-52","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39"
"41020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,310,1161,3008,2236,5241,8700,3397,3839,2218,2733,3128,2297,5727,5002,3764,6637,14122,10928,10027,7107,6513,6001,5442,3343,5188,6212,3539,3809,2771,1892,1467,1958,1133,1127,867,1092,1307,3242,1403,2145,1468,1217,1396,1583,1034,840,696,868,734,395,287,365,356,339,296,242,370,387,167,262,286,594,523,437,405,387,219,302,323,402,343,230,180,172,83,1700,2053,2152,2122,1820,1451,3885,1763,2625,2040,2283,3162,1923,1925,802,768,757,629,459,527,464,302,306,188,280,295,199,100,188,177,140
"41021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,210,278,789,863,1861,2701,944,1518,1248,1340,1044,1139,3390,2483,3221,6414,7085,3914,6402,3997,3832,3993,4898,2348,4535,4287,2637,2316,2566,967,1010,1255,759,745,693,577,881,3087,951,980,890,1111,897,633,865,450,375,530,322,277,357,185,256,150,130,176,211,255,109,202,149,494,452,320,251,286,130,188,239,171,482,215,148,332,129,1535,1469,2256,1650,2046,1542,2865,1009,1648,1683,1861,2017,2008,1159,473,517,626,434,281,290,263,228,255,177,455,195,290,151,188,146,191
"41022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,32,870,1570,578,1261,3058,1026,2363,711,1123,1146,1464,2262,1998,2562,4258,4497,3519,3303,2447,3947,3672,3617,1197,2813,2827,1611,1170,1059,390,496,917,629,447,276,260,640,1682,574,783,574,594,376,385,409,204,187,222,156,127,66,111,78,65,112,65,218,99,79,85,121,178,241,117,159,74,40,86,91,61,159,114,61,129,25,1480,1079,1562,1433,1520,805,1902,861,1447,1267,1370,1394,1026,725,283,216,283,215,208,130,116,98,93,64,147,96,53,28,53,36,59
"42001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,325,338,1175,2281,3314,2313,3870,1952,5480,3114,2254,2021,1651,6074,7128,4302,7815,8289,5929,7131,4876,9005,5009,4747,3289,2820,3133,2260,1896,1320,800,1154,957,472,602,488,353,332,601,950,1265,1093,948,875,541,478,395,336,459,238,154,150,187,149,121,78,92,93,61,29,54,137,160,159,163,95,81,77,71,156,89,82,80,56,109,69,2416,1658,2011,2036,1362,731,1438,1071,1857,1794,1409,1652,775,709,363,365,202,305,129,79,87,59,41,48,43,45,52,26,48,34,19
"42002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,10,76,667,2429,2384,5788,2715,2471,2468,3781,4581,4773,5033,3689,5024,5987,6813,6150,10178,13487,9700,8989,7237,7028,6168,6960,3720,4687,5809,3943,3111,2542,1674,1152,2083,1120,1187,714,994,1129,2127,2182,2275,2000,1528,990,1051,903,908,973,792,455,431,308,337,715,292,163,197,256,227,103,180,324,380,531,451,424,290,263,490,458,509,253,198,160,186,126,2267,2189,2276,2059,2983,867,2742,1841,3083,3223,3059,2125,1327,1556,904,673,619,817,329,285,253,227,165,182,145,182,183,107,185,126,90
"42003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,16,14,218,140,901,915,1730,1416,1588,1464,2738,2435,1885,1721,2300,3164,1859,2088,4880,5775,5345,4687,3812,3422,3347,3380,2494,2696,2766,2547,1390,956,636,796,768,595,628,596,610,529,1141,613,1282,1513,1435,519,864,342,381,420,513,395,184,122,176,360,329,73,54,221,53,36,81,138,184,243,135,160,85,32,68,122,113,91,83,99,105,64,764,898,1224,1043,1170,503,1091,798,1345,1181,911,958,480,771,344,123,232,287,160,106,142,109,80,52,106,94,61,58,57,67,32
"42004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,22,310,385,600,1778,3449,3302,4197,1910,2074,1744,1691,1650,2294,5307,2603,881,4635,7217,6386,4890,4889,4715,3776,2846,2580,2723,2498,1930,1409,1096,607,514,803,503,656,516,544,679,1066,694,970,1142,628,635,493,452,372,358,499,215,241,219,142,149,212,79,74,141,71,29,122,195,252,252,262,178,88,8,26,112,154,139,104,88,103,76,1481,1680,1197,875,1110,495,1670,1378,2085,1834,1523,1510,1027,963,368,499,291,306,200,111,126,137,109,125,79,145,73,63,90,88,52
"42005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,1,3,1,0,2,1,0,1,1,2,1,0,2,5,4,0,2,4,1,1,0,2,4,98,839,1860,2961,4985,6303,6999,6123,3886,4127,3987,3142,2966,4016,9795,8473,6662,17227,15629,12675,11895,10058,11936,10559,9390,4827,8537,9154,7608,4536,3955,2352,2165,3875,2378,2727,2438,3085,2799,3235,2018,3625,3242,2723,2131,2091,2064,1480,1037,1561,993,893,650,746,707,764,506,389,533,360,262,747,677,858,1118,804,660,272,235,447,558,477,467,432,349,262,169,4729,4922,2998,2696,2157,1368,3511,2487,4908,5137,3768,5728,2861,2591,690,1166,1511,1494,984,564,487,580,442,323,385,545,408,314,488,356,252
"42006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,2,3,3,0,1524,2182,2792,4316,6042,6516,6303,6063,7249,5154,3423,2549,5711,10220,8030,6194,16590,20066,16654,13066,11792,11459,9172,9018,6607,8883,6778,5809,4214,3385,2012,2123,2987,1462,1696,1830,1760,2345,3105,2191,3001,2906,2440,2183,1944,2408,1836,1016,1636,1066,734,510,570,538,541,325,312,458,336,234,470,620,915,655,586,581,200,45,112,369,354,369,355,248,310,145,2361,2375,2920,2441,2526,2776,4562,3074,5973,7107,3784,5364,3955,4526,2130,1465,1335,1315,748,542,467,441,555,322,303,362,312,261,280,249,200
"42007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,2,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,1,0,4,0,40,1,39,1554,5185,5134,11985,18424,21242,15630,8664,9216,7883,6774,5093,9887,13143,14237,7855,21027,35137,25425,25601,28651,27687,23357,20174,13692,17830,19733,15664,11248,8509,4986,5481,7097,4328,4717,3994,4776,6214,8358,5125,6186,6380,4885,4430,4519,5238,5521,2772,3880,2946,2074,1559,1820,1458,1232,995,817,1124,787,435,1403,1882,3207,1930,1776,1259,900,545,1073,1386,1340,1058,946,972,858,648,4247,8947,9854,7178,5776,3493,9610,7771,16557,17267,13608,13759,13008,11421,3658,3439,5254,6135,3089,2132,1683,1595,1270,875,1124,1543,1395,736,1249,946,739
